id,museum_sammlungsbereich,standort,exakter_standort,inventarnummer,alte_inventarnummern,objektbezeichnung_gegenstand,titel,kategorie,objektgattung,objekttyp,anzahl_teile,erfassungsstatus,darstellung_ikonographie,personen_gnd,personen_nicht_normiert,herstellungsort,fundort,dargestellter_genannter_ort,gebrauchsort,ort_der_geistigen_schoepfung,druckort,entstehungsort,publikationsort_verlagsort,technik,material,farbe,hoehe,breite,tiefe,durchmesser,laenge,gewicht,massstab,beschriftung_aufdruck,datumsart,beginn,ende,herstellungszweck,verwendungszweck,land,ethnie,stil,sachgruppe,schlagwoerter,beschreibung,literatur_gvk,literatur_freitext,weblinks,bemerkungen,zustand,fundstelleid,massnahmeid,fundid,fundstellennummer,fundnummer,fundumstaende,befund,schnitt,lagebeschreibung,fund_bemerkung,bezugssystem,longitude,latitude,fund_3d_koordinaten,objektgeschichte,hornbostelsachs
365882,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 522,,Skulptur,Stehende Figur,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Stein,Rosa-Braun,13.4cm,5.1cm,3.3cm,,,345g,,,Herstellungsdatum,100,600,,,Nordamerika,,,,,"Die stehende, menschliche Figur ist weitgehend stilisiert. Die Rückseite der abstrakten Gestalt ist leicht gerundet, fast flach und zeigt keine Details. Der ovale Kopf ist kantig; ausgefeilt wurden Augenhöhlen, eine größere Eintiefung markiert den Mund. Die Nase wurde nur durch Abschrägung der Wangen angedeutet. Die Ohren sind jeweils eine senkrechte Einkerbung vom länglichen Gesicht abgetrennt, unterstützen somit dessen ovale Form und sind nicht detailliert ausgearbeitet. Am oberen Kopf - oberhalb der Ohren schmaler - wurde außer einer hohen Stirn kein weiteres Merkmal gestaltet. Der Stein ist oben unbearbeitet. Kopf und Rumpf sind durch zur Mitte schräg gefeilte Eintiefungen getrennt, die den Kinnbereich kantig hervorheben. Ab den Schultern hat der Körper - ausgenommen der stummeligen Beine - eine quadratische Form. Die Seiten sind abgefacht und leicht gerundet. Zur Mitte sind Arme hervorgehoben, die weit unten angesetzt sind und keine Details zeigen. Sie bilden eine Dreiecksform, dessen Spitze sich im Zentrum der Figur befindet und unten durch den Ansatz der Beine abgeschlossen wird. Das Zentrum der Figur, der Brustbereich, (keine weiblichen Brüste ausgeformt) wird weiter durch Abschrägungen an den Seiten betont, sowie durch das spitze Kinn, das den Blick des Betrachters ebenfalls in diese Richtung weist. Am quadratischen Körper sind unten unproportional kurze, leicht gespreizte Beine herausgearbeitet. Der Geschlechtsbereich wurde nicht betont; eine flache senkrechte Linie können ein weibliches Geschlecht markieren. Die Figur wirkt in sich gechlossen.",,,,"Erwerb und Jahr: über Prof. Braun, ehem. Inst. f. d. wiss. Film, Gö, von einem mex. Prof. f. Anthropologie; 1997 aus Privatsammlung Kirchhoff hinzugekommen",,,,,,,,,,,,,,,,,
365883,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Neu Maria-Hilf,K 523,,Skulptur,Knochenschnitzerei,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Peru,,,,,,,,,Knochen (tierisch),Getreide; Schwarz,29.3cm,8.8cm,4.8cm,,,705g,,,,,,,,,,,,,"Die aus Tierknochen geschnitzte Frauenfigur trägt eine bis zu den Schultern reichende Frisur, die in der Mitte gescheitelt ist. Ritzlinien markieren Haare. Das naturalistische Gesicht besteht aus eingeschnitzten Augen, Augenbrauen und wulstigem Mund, platter, breiter Nase und üppigen Wangen- und Kinnpartie. Den Hals ziert eine breite Kette, die mit Linienornamenten verziert ist. (Kreise mit Punkten, Zick-Zack-Linien). Die Arme hängen lang am Körper herab und enden in den breiten Händen, deren Finger ausgeformt sind. Sie halten ein Kind, dessen Kopf zwar nahezu naturalistisch geschnitzt wurde, dessen Körper aber aus einem langen, quadratischen, mit Ornamenten verzierten Stück besteht, ""latzartige(...)(s) Dekor, welches von Kopf des Kindes herunterhängt und welches nicht als Körper angesehen werden kann."" (Pleuss, Korrespondenz vom 21.2. 1974). Jenes Stück reicht bis in den auf den Hüften der Frauenfigur aufliegenden Gürtel, der einen aus blattförmigen Teilen bestehenden, bis zu den Füßen reichenden Rock hält. Unten schauen naturalistische Füße hervor. Gutachten von Herrn Pleuss, Solingen-Ohigs, 21.2.1974: ""Das vorliegende Stück besitzt genügend Indizien, um sich als moderne Arbeit auszuweisen (...) Vom ikonographischen Standpunkt aus gesehen, kann ich vermuten, dass das Stück in Peru hergestellt wurde: Die kleinen Kreise mit Punkten in der Mitte gibt es in der Nasca A und B-Phase in Südperu. Sternförmige Linienornamente passen jedoch nicht dazu. Die dargestellte Frau trägt ein Gewand, welches in präkol. Kulturen nicht vorkommt. Hier handelt es sich weder um eine Art Poncho, noch Schurz. Vielmehr liegt die gürtelartige Bauchbinde nicht in Höhe der Taille, sondern auf der Hälfte der Oberschenkel und die blattförmigen Rockteile berühren die Füsse, eine Kleidungsart, die in Altamerika unbekannt ist. Ferner ist die Darstellung der Füsse unbekannt. Die präkolumbianischen Knochenarbeiten besitzen ferner keine Podeste oder Sockel, da sie ja nicht zum Aufstellen gedacht waren, sondern zum Aufhängen, Anhängen o. eben als gefässverschlüsse oder Zeremonialstab-Aufsätze. Bei letzteren haben sie unten einen Zapfen, der aus dem Knochen herausragt. (...) Bei dem vorliegenden Stück sind es so einige (ikonografische Widersprüche, mit dem sich eine Arbeit als Fälschung verrät), so dass ich Ihnen versichern kann, dass ein Irrtum meinerseits ziemlich ausgeschlossen ist. Also, das Stück dürfte irgendwo in Peru hergestellt sein - es sieht ganz nach einer südperuanischen modernen Arbeit aus.""",,,,"Original? Fälschung, mod. Arbeit (siehe Gutachten Pleuss vom 21.2.1974). Erwerb und Jahr: erworben in einem Fachgeschäft in Buenos Aires, Argentinien hinzu aus Privatsammlung Kirchhoff, 1997. Sammler: Kirchhoff",,,,,,,,,,,,,,,,,
365884,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 524a,,Skulptur,"Steinfigur (wahrscheinlich Votivgabe, Aussage der Figur unbekannt)",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Quarzit,Gebräunt,13.5cm,10.8cm,10.7cm,,,1490g,,,Herstellungsdatum,101,200,,,Nordamerika,,,,,"An der gedrungenen menschlichen Gestalt sind am quadratischen, hinten flachen Kopf Ohren ausgearbeitet sowie die Gesichtszüge schemenhaft durch Einritzungen in den Quarzit-Stein dargestellt: hochsitzende schlitzförmige Augen und Augenbrauen, Nase und Lippen treten leicht hervor, bilden zusammen ein spitzes Dreieck. Kopf und Rumpf sind durch eine hervortretende Kinnpartie, ausgeformten Hals und flachen Schultern voneinander deutlich abgesetzt. Oben auf dem flachen Kopf wurde eine runde Eintiefung angebracht (ca. 1 cm breit, 0,5 cm tief), eine ebensolche runde Eintiefung (ca. 1 cm breit, 1 cm tief) befindet sich im Rückenbereich der abstrakten Figur oberhalb des Gesäßes. Angewinkelte Arme und Halsausschnitt sind durch Einkerbungen markiert. Beine sind nicht zu erkennen. Die Haltung der Figur könnte ursprünglich eine sitzende gewesen sein: vorn unten befindet sich eine Abbruchstelle; die Oberfläche unterscheidet sich von den übrigen Teilen, da weiße kristalline Stellen sichtbar sind. Die Rückseite der Figur ist durch das stark hervortretende, quadratische Gesäß geprägt. Feine Schraffuren verzieren diesen Bereich. Die Standfläche ist relativ flach, in der Mitte wurde eine Eintiefung eingefeilt, die von vorn nach hinten reicht. (Trennlinie zwischen den Beinen?) Unterhalb des Gesäßes auf der rechten Seite ist mit schwarzer Tusche die Zahl 10704 aufgetragen.",,,,"Erwerb und Jahr: Stolper Galerie München für 1000 D-Mark, 1968, vgl. Korrespondenz und Zertifikat von 1972",,,,,,,wahrscheinlich Grabbeigabe,,,,,,,,,,
365885,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 524b,,Skulptur,"Steinfigur (wahrscheinlich Votivgabe, Aussage der Figur unbekannt)",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Quarzit,Gebräunt,18.3cm,7.3cm,4.8cm,,,1190g,,,Herstellungsdatum,101,200,,,Nordamerika,,,,,"Die aus einem Stück gearbeitete, stehende, menschliche Figur ist auf der Rückseite flach und an den Seiten abgerundet. Der oberhalb der Ohren schmaler gestaltete Kopf ist oben flach, in dessen Mitte befindet sich eine runde Eintiefung. (flach) Durch Einkerbungen sind hochansitzende schlitzförmige Augen und Augenbrauen dargestellt sowie eine flache nur leicht hervortretende Nase und ein breiter Mund, dessen Lippen einzeln hervorgehoben sind. Kopf und Rumpf sind nur durch die Andeutung von flachen, kurzen Schultern getrennt. Arme sind nicht einzeln dargestellt. Die Figur scheint ein Gewand zu tragen, das in der Mitte zusammengehalten wird - durch eingetiefte Linien markiert -, ein Halsausschnitt ist angedeutet. Beine sind durch eine senkrechte tiefere Einkerbung angedeutet, die auf der Vorderseite der Figur länger ist als auf der Rückseite. Füße sind nicht dargestellt, doch durch jeweils eine waagerechte Linie unten an den Beinen angedeutet. Auf der rechten unteren Rückseite der Figur wurde mit schwarzer Tusche die Nummer 10627 aufgetragen.",,,,"Erwerb und Jahr: Stolper Galerie München, 1968 (aus Privatsammlung Kirchhoff hinzu 1997?) vgl. Korrespondenz",,,,,,,wahrscheinlich Grabbeigabe,,,,,,,,,,
365886,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 12,K 524c,,Skulptur,"Steinfigur (wahrscheinlich Votivgabe, Aussage der Figur unbekannt)",Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mexiko,,,,,,,,,Quarzit,Gebräunt,15.2cm,6.3cm,2.8cm,,,590g,,,Herstellungsdatum,101,200,,,Nordamerika,,,,,"Die leicht bananenförmig gebogene, stehende menschliche Figur ist auf der Rückseite flach und an den Seiten abgerundet. Das leicht nach oben schauende Gesicht ist flach, die Gesichtszüge sind schemenhaft durch Einritzungen (Augen) und Hervorheben von der dreieckigen flachen Nase und Lippen dargestellt. Ohren sind vom Kopf durch eine senkrechte Linie getrennt. Am quadratischen Oberkörper sind keine Arme aber eine Art Gewand, das vorn zusammengehalten wird, durch eingetiefte Linien markiert; (Arme könnten unter den Gewand gedacht sein) Beine sind durch eine senkrechte Einkerbung angedeutet, ebenso Füße durch jeweils eine waagerechte Linie.",,,,Erwerb und Jahr: Stolper Galerie 19?; aus Privatsammlung Kirchhoff hinzu 1997,,,,,,,,,,,,,,,,,
365887,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 06,K 525,,Skulptur,Votivstatuette einer etruskischen Göttin,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Portugal,,,,,,,,,Metall,Schwarz,20cm,6cm,3cm,,,,,,Entstehungsdatum,580,,,,,,,,,"Es handelt sich um eine Nachbildung. Standort des Originals: Staatliche Museen Preußischer Kulturbesitz, Antikensammlung, Berlin. Die religiöse Welt der Etrusker stand noch im Bann der alten Erdmutterkulte des Mittelmeerraumes, als dieses mit eigenwillig robuster Kraft und hierarchischer Feierlichkeit gestaltete Kultbild entstand. Damals herrschten etruskische Könige in Rom und die imposante Göttin verkörperte auch das Selbstbewußtsein eines einflußreichen Volkes auf dem Höhepunkt seiner Macht.",,,,"mit Zertifikat, siehe Karteikarte. Erwerb und Jahr: ars mundi Collection - Schätze der Weltkunst, Bücher-Büchner, Hannover",,,,,,,,,,,,,,,,,
365888,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 03,K 526,,Skulptur,Astarte,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Jericho,,,,,,,,,Keramik; Erde; Sand,Peru,12.4cm,5.4cm,3.5cm,,,170g,,,Herstellungsdatum,-2000,,,,Asien,,,,,"Die stehende Frauenfigur ist weitgehend stilisiert. Der unnatürlich geformte Kopf weist vorgewölbte Augen auf. Nase und leicht lächelnder Mund sind hervorgehoben und durch Ritzlinien markiert. Ohren und Haare sind nicht dargestellt. Große runde weibliche Brüste prägen die Figur. Die Arme sind stummelartig abstehend geformt. Der lange schlanke Körper verbreitert sich nach unten zu einer ovalen Rundung, die nach innen gewölbt ist (ca. 0,5 cm). Weitere Details sind nicht dargestellt.",,,,"Beschädigung: Kopf abgebrochen, angeklebt. Erwerb und Jahr: Kaufman`s Antiques, Tel Aviv, Israel, 26.05.1968 Preis zusammen mit K 548: 1150 D-Mark.",,,,,,,,,,,,,,,,,
365889,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 02,K 527,,Skulptur,Weibliches Idol,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Mespotamien (römische Provinz),,,,,,,,,Ton,Kräftiges Holz,19.7cm,5.5cm,3.6cm,,,230g,,,,,,,,,,,,,"Ohne Durchbrechung geformt. Die aufrecht stehende, unbekleidete Frauenfigur ist innen hohl. Eine dreigliedrige, leicht nach vorn gewölbte, hohe Kopfbedeckung reicht an den Seiten bis auf die Schultern. Die Gesichtszüge der naturalistisch geformten Frauengestalt sind nur schemenhaft zu erkennen. Weibliche Brüste sind dargestellt. Die Arme liegen senkrecht am Körper an; die Hände gehen in den Körper über. Einzelne Finger sind nicht ausgearbeitet. Die Taille ist schmal, der Bauchnabel eingetieft. Die Beine sind durch eine senkrechte Eintiefung voneinander unterschieden, die Füße durch eine kurze Vorwölbung angedeutet. Auf der Rückseite befindet sich etwa in Höhe der Schulterblätter ein ca. 1,5 cm breites Brennloch. Ausgeformt ist das Gesäß. Die Beine sind auch hinten durch eine senkrechte Einkerbung markiert.",,,,"Reparaturstelle: Kopf (angeklebt, undatiert) Juli 1997: Rumpf an Beine angeklebt. Erwerb und Jahr: Antiquitäten Messe, Hannover",,,,,,,,,,,,,,,,,
365890,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 04,K 528,,Skulptur,Idol,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Griechenland,,,,,,,,,Ton,Navajo-Weiß,16.7cm,6.5cm,3.4cm,,,126g,,,Herstellungsdatum,-800,-700,,,,,,,,"Es handelt sich um eine böotische Sonderform des 6. Jh. v. Chr. Brettidole aus Grabfunden, die lange Nase entspricht Vogelgesicht. Die menschliche stehende Gestalt ist weitgehend stilisiert. Kopf, langer Hals und Rumpf bilden eine Einheit. Oben auf dem Kopf ist eine kronenartige Kopfbedeckung angebracht - in der Mitte eingetieft -, die seitlich mit je einer runden Scheibe und vorn mit einer größeren verziert ist. Beidseitig verlaufen ausgehend von der Kopfbedeckung zwei Bänder entlang des unproportional langen Halses bis über die stummelförmigen, leicht nach vorn gebogenen Arme. Außer einer großen schnabelförmig vorstehenden Nase sind keine Gesichtszüge gestaltet. Der übrige Körper ist flach und verbreitert sich unten in einen ovalen Standfuß. Weitere Einzelheiten sind nicht ausgearbeitet. Die Figur scheint ein langes Gewand zu tragen, da Beine und Füße nicht dargestellt sind.",,"Literatur in Zusammenhang: Prähistorische Staatssammlung München, Museum für Vor- und Frühgeschichte (1985) Idole. Frühe Götterbilder und Opfergaben. Mainz, S. 87, Foto 22 (Baötien, 6. Jh. v.).; Beschrieben in: Prähistorische Staatssammlung München, Museum für Vor- und Frühgeschichte (1985) Idole. Frühe Götterbilder und Opfergaben. Mainz, S. 87 (Baötien, 6. Jh. v.).",,"Aus Vitrine herausgenommen, muss repariert werden (12.November 2011), Reparatur von Herrn Sauerland erledigt im Februar 2013, ins Magazin eingeräumt. Reparaturstellen (geklebt): Hals Standfuß Juli 1997: Kopf abgebrochen, geklebt. Erwerb und Jahr: pers. in Athen erworben",,,,,,,,,,,,,,,,,
365891,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 03,K 529,,Skulptur,Weibliches Idol mit vogelartigem Gesicht,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Israel,,,,,,,,,Keramik,Gebräunt,26.2cm,12.2cm,4.5cm,,,450g,,,,,,,,,,,,,"Die leicht nach hinten gebogene, stehende Frauenfigur ist abstrakt gestaltet. Der vogelartige Kopf geht direkt in den Hals über, der mit zwei eingetieften Linien vorn verziert ist. Die Augen sind flach eingebohrt, ein Mund fehlt. Die Nase geht direkt in eine kammartige, ursprünglich schwarz bemalte Erhebung auf dem schmalen Kopf über. Diese vorgewölbte Linie verläuft von dort aus über den Rücken bis zum Gesäß, wo sie sich schwanzförmig nach rechts biegt. Die Arme sind stummelförmig und flügelartig nach oben gebogen. Weibliche Brüste sind durch zwei flach eingetiefte Kreise markiert. Die Beine sind geschlossen und durch eine senkrechte Einkerbung vorn und hinten voneinander unterschieden. Die Füße sind zehenlos geformt.",,,,"Reparaturstellen (geklebt): Halsansatz, linker Arm, Bauch/Rücken. Erwerb und Jahr: Geschenk des Kollegen Prof. Dr. Halbrecht, Tel Aviv 19?",,,,,,,,,,,,,,,,,
365892,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 05,K 530,,Skulptur,Kniende Frau,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Griechenland,,,,,,,,,Ton,Gebräunt,15.7cm,14.5cm,3.3cm,,,700g,,,Herstellungsdatum,-400,-201,,,,,,,,"Die reliefartig gestaltete, naturalistische Darstellung zeigt eine mit dem rechten Bein knieende, mit einem langen faltigen Gewand bekleidete Frauenfigur. Ausgenommen des Kopfes geht der Körper aus einer hinten flachen, abgerundeten quadratischen, senkrecht stehenden Fläche hervor, die hinten in der Mitte eine quadratische Öffnung aufweist. Das Relief ist innen hohl. Die knieende Gestalt ist von der Seite dargestellt; der Oberkörper ist von links aus dem Hintergrund zum Betrachter hin gedreht, sodass er fast vollständig gezeigt wird. Der Kopf der Gestalt ist plastisch ausgeformt und von vorn im Profil gezeigt. Die Figur blickt nach links unten. Sie trägt das wellige Haar hinten zu einem Knoten gebunden. Die Gesichtszüge sind naturalistisch gestaltet; der Mund lächelt. Der linke Arm ist ausgestreckt. Die Hand geht in den dort endenden, gewellten Hintergrund über. Der rechte Arm steht schräg nach unten vom Körper ab; die Hand ist abgebrochen. Das eng anliegende, faltige, tief ausgeschnittene Gewand zeichnet deutlich die Konturen der Gestalt nach. Zu erkennen sind weibliche Brüste, Bauch und Beine. Das linke Bein ist angewinkelt, dessen Knie zeigt nach oben. Die Figur kniet mit dem rechten Bein, der nackte rechte Fuß stützt sich auf eine flache, schmale Standfäche.",,,,"Erwerb und Jahr: erworben im Kunsthandel, Mainz 19?",,,,,,,,,,,,,,,,,
365893,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 05,K 531,,,Gorgo (Apotropäon),Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Griechenland,,,,,,,,,Gips,Sehr dunkles Grau,6cm,9cm,,,,,,,,,,,,,,,,,"Es handelt sich um eine Nachbildung. Gräulicher Gipsabdruck eines Gesichtsfragmentes. Gesicht in der Mitte durchgebrochen und wieder zusammengeklebt. Das finster dreinschauende Gesicht ist von lockigem Haar umgeben, seitlich des Kopfes befinden sich kleine Flügel.",,,,Großer Riss quer über das Gesicht (Stand: 10.08.2015),,,,,,,,,,,,,,,,,
365894,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 03,K 532,,Skulptur,Astarte,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,,Israel,,,,,,,,Ton,Kräftiges Holz,13cm,4.4cm,2.2cm,,,150g,,,Herstellungsdatum,-3000,,,,,,,,,"Die unbekleidete stehende Frauenfigur ist hinten fast flach (Unebenheiten), an den Seiten abgerundet, sowie unten und oben zungenförmig nach vorn gewölbt. Die Darstellung der weiblichen Gestalt ist somit reliefartig auf der Vorderseite herausgearbeitet und gemessen am Hintergrund etwas schmaler. Die Figur ist naturalistisch gestaltet. Am Kopf ist eine oberhalb der Stirn verlaufende, kranzförmige Haartracht durch feine Ritzlinien markiert, sowie große Augen mit -brauen, eine breite, flache Nase und ein schmaler Mund. Über den Ohren scheinen gelockte Haare zu fallen. Um den Hals trägt die Figur eine 3-lagige Halskette, deren Glieder durch feine Ritzlinien angedeutet sind. Ein weiterer Schmuck verläuft von der rechten Schulter schräg abwärts zwischen den Brüsten zu den gefalteten Händen. Weibliche Brüste sind durch runde Erhebungen dargestellt. Die Arme sind angewinkelt, deren Hände unterhalb der Brust gefaltet. Einzelne Finger sind nicht ausgearbeitet. Der Bauchnabel ist durch eine flache Eintiefung markiert. Die geraden stehenden Beine sind durch eine senkrechte Ritzlinie voneinander unterschieden und naturalistisch geformt. Das weibliche Genital ist durch eine feine Einkerbung angedeutet. Einzelne Zehen sind mittels Ritzlinien gestaltet. Auf der Rückseite sind stellenweise Fingerabdrücke des Töpfers zu erkennen (Beispiel: linke Halsseite).",,,,"Kopie: K 140. Erwerb und Jahr: Archäologischer Laden im Hilton Hotel, Tel Aviv, Israel, 25.05.1968, [DM/NIS?] 250,00 Vgl. Korrespondenz und Zertifikat Joshua Simon, Kunsthändler Tel Aviv",,,,,,,,,,,,,,,,,
365895,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 07 > Karton 07b,K 533,,Skulptur,Frauenfigur mit vorn aufgestützten Armen,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Ägypten,,,,,,,,,Keramik,Weiß; Kräftiges Holz,12.7cm,6.6cm,4cm,,,235g,,,Herstellungsdatum,201,700,,,Afrika,Kopten,,,,"Dargestellt ist eine sitzende Frauengestalt, deren Unterkörper und Beine fehlen. Auf dem Kopf trägt sie eine Art Haube (frontal betrachtet dreieckig), an deren Spitze ein dicker geflochtener Zopf am Hinterkopf befestigt ist, der bis zum Hals reicht. Am ovalen Kopf ist lediglich die lange schlanke Nase erhalten. Die ursprüngliche Bemalung ist kaum noch zu erkennen. Ein breiter aufgemalter Schmuck, den die Figur um den Hals trägt, ist ebenfalls nur noch bruchstückhaft erhalten. Spitze weibliche Brüste stehen vom Körper ab. Die Taille ist schmal, der Bauchnabel eingetieft. Die gebogenen Arme stützen sich vorn auf, sind mit dem Körper verbunden. Einzelne Finger sind nicht ausgearbeitet, sie waren ursprünglich aufgemalt.",,,,"Erwerb und Jahr: A. Sandmeier, Ägyptische und koptische Kunst, Göttingen, 1972, vgl. Korrespondenz, Preis? Original",,,,,,,,,,,,,,,,,
365896,Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen,Göttingen > Georg-August-Universität Göttingen > Sammlung Kirchhoff: Symbole des Weiblichen > Magazin > Karton 10 > Karton 10b,K 534,,Hochrelief,Stehende nackte Frau,Skulptur,Plastik/Skulptur,3D-Objekt,,veröffentlichen,,,,Indien,,,,,,,,,Keramik,Sandiges Braun,12.5cm,4.5cm,3.9cm,,,135g,,,Herstellungsdatum,-100,100,,,,,,,,"Ohne Durchbrechungen geformt Die Rückseite der Figur ist flach und an den Seiten nach vorn abgerundet. Unten wölbt sich flach eine ovalen Standfläche mit erhöhtem Rand nach vorn. Auf der Vorderseite ist reliefförmig die Gestalt einer stehenden Frau naturalistisch dargestellt. Sie trägt eine mehrfach verzierte Kopfbedeckung, die an den Seiten bis auf die Schultern reicht. Ausgeformt sind im Gesicht geschwungene Augenbrauen, große Augen (das rechte kaum noch zu erkennen), eine schlanke Nase, Mund und Kinn. Die Figur trägt viele Schmuckstücke: eine gegliederte Halskette; eine längere, die zwischen den nackten Brüsten bis zum Bauchnabel verläuft; eine breite doppelte Kette waagerecht unterhalb des Bauchnabels, die ein Bekleidungsstück hält, das von dort im Hintergrund bis zu den Knöcheln fällt. Am rechten Arm, der vom Körper bogenförmig absteht, trägt sie am Oberarm einen Armreifen, am Handgelenk vier schmale und einen breiteren; die Hand liegt auf der Hüfte. Vom rechten Oberarm schräg abwärts bis zur linken Hüfte liegt eine Kette oder Schärpe. Der linke Arm ist angewinkelt. Der Unterarm wird senkrecht nach oben gehalten und trägt 5 schmale Armreifen und einen breiteren. Das weibliche Geschlecht ist durch eine Einkerbung angedeutet; Die Beine durch eine breite Eintiefung voneinander getrennt. Die Füße stehen flach auf der Standfläche; einzelne Zehen sind durch Ritzlinien angedeutet. Sie scheint Sandalen zu tragen, da Riemen dargestellt sind. Oben wurde ein kleines Loch eingebohrt (Aufhängevorrichtung).",,"Beschrieben in: Bautze, Joachim Karl (1995) Early Indian Terracottas. S. 30. (FB 5966:13,17); Literatur in Zusammenhang: Bautze, Joachim Karl (1995) Early Indian Terracottas. Abb. Plate III. (FB 5966:13,17)",,Original?,,,,,,,,,,,,,,,,,
